id,nc,sent,type label,type pred,input,output,time
12,дьяволдың адвокаты,"Бұл бөлімде дьяволдың адвокаты отанымыздың негізгі кемшіліктерін атайды: ұзақ қыс пен құрғақ жазды қоса алғандағы жаман климат, астанасы батпаққа салынған ел, жақсы жолдардың аздығы, халықтың санитарлық жағдайының өте нашарлығы, түрлі аурулар, кедейлердің артта қалғандығы мен білімсіздігі, орта таптың бейқамдығы мен ұқыпсыздығы, хулигандық пен зорлық-зомбылықтың қалыпты жағдайға айналуы, адам өлтіру, қорлау, жарақаттау ештеңе емес деп саналатын қоғам.",,idiomatic,"In the Kazakh language, determine whether the expression [дьяволдың адвокаты] in this context [Бұл бөлімде дьяволдың адвокаты отанымыздың негізгі кемшіліктерін атайды: ұзақ қыс пен құрғақ жазды қоса алғандағы жаман климат, астанасы батпаққа салынған ел, жақсы жолдардың аздығы, халықтың санитарлық жағдайының өте нашарлығы, түрлі аурулар, кедейлердің артта қалғандығы мен білімсіздігі, орта таптың бейқамдығы мен ұқыпсыздығы, хулигандық пен зорлық-зомбылықтың қалыпты жағдайға айналуы, адам өлтіру, қорлау, жарақаттау ештеңе емес деп саналатын қоғам.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""дьяволдың адвокаты"" (devil's advocate) in this context is used **idiomatically**. 

(Returning only the answer as requested: idiomatic.)",2.6141018867492676
13,дьяволдың адвокаты,"Генерал ішінен күнә жасаушылардың жағына өткен еді де, дьяволдың адвокаты сияқты, өздерінің соңғы дұшпандарын ақтауға тырысты.",,idiomatic,"In the Kazakh language, determine whether the expression [дьяволдың адвокаты] in this context [Генерал ішінен күнә жасаушылардың жағына өткен еді де, дьяволдың адвокаты сияқты, өздерінің соңғы дұшпандарын ақтауға тырысты.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""дьяволдың адвокаты"" (devil's advocate) in this context is used **idiomatically**. 

Return: idiomatic",1.7821691036224365
14,дьяволдың адвокаты,"Юриспруденцияда жеке сезімдерге орын жоқ, сондықтан тіпті сенімін ұстанатын заңгер де өз міндеттерін жауапкершілікпен атқаруы тиіс, тіпті ол дьяволдың адвокаты болып та тағайындалған жағдайда да.",,idiomatic,"In the Kazakh language, determine whether the expression [дьяволдың адвокаты] in this context [Юриспруденцияда жеке сезімдерге орын жоқ, сондықтан тіпті сенімін ұстанатын заңгер де өз міндеттерін жауапкершілікпен атқаруы тиіс, тіпті ол дьяволдың адвокаты болып та тағайындалған жағдайда да.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""дьяволдың адвокаты"" (devil's advocate) is used **idiomatically** in this context. 

idiomatic",1.724501609802246
15,дьяволдың адвокаты,"Белгілі бір фильмде басты кейіпкер, заңгер болып, сотта дьяволдың адвокаты ретінде шығады.",,idiomatic,"In the Kazakh language, determine whether the expression [дьяволдың адвокаты] in this context [Белгілі бір фильмде басты кейіпкер, заңгер болып, сотта дьяволдың адвокаты ретінде шығады.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,5.5192954540252686
16,арам ақша,"Кешірші, бірақ адам арам ақша тапқанына намыстану керек, қандай жұмыс істегеніне емес",,idiomatic,"In the Kazakh language, determine whether the expression [арам ақша] in this context [Кешірші, бірақ адам арам ақша тапқанына намыстану керек, қандай жұмыс істегеніне емес] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,18.601949214935303
17,арам ақша,"Арам ақшамен садақа берген, мешіт салдырған, жақсылық істеген адам, кірлеген киімді зәрмен жуған адамға ұқсайды. Киімі одан сайын кірлейді",,idiomatic,"In the Kazakh language, determine whether the expression [арам ақша] in this context [Арам ақшамен садақа берген, мешіт салдырған, жақсылық істеген адам, кірлеген киімді зәрмен жуған адамға ұқсайды. Киімі одан сайын кірлейді] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.8708500862121582
18,арам ақша,"Арам ақшаға тікелей контакт әртүрлі ауруларға шалдықтыруы мүмкін, әсіресе одан кейін бетке, көзге тию немесе қолды жуусыз тамақтану жасалған жағдайда.",,literal,"In the Kazakh language, determine whether the expression [арам ақша] in this context [Арам ақшаға тікелей контакт әртүрлі ауруларға шалдықтыруы мүмкін, әсіресе одан кейін бетке, көзге тию немесе қолды жуусыз тамақтану жасалған жағдайда.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.2549514770507812
20,жаны құю,"Әр тапсырманы бірінші болып орындайтын, тыныш отырмайтын жаны құйған қызды бәрі үлгі етеді.",,idiomatic,"In the Kazakh language, determine whether the expression [жаны құю] in this context [Әр тапсырманы бірінші болып орындайтын, тыныш отырмайтын жаны құйған қызды бәрі үлгі етеді.] is used idiomatically or literally. Return only: idiomatic or literal.","The expression **""жаны құю""** in this context is used **idiomatically**.  

**Returned:** idiomatic",1.566511869430542
23,отқа май құю,"Ой, қорқамын, мұнда саяси шиеленісті күшейтуге кім және қандай мақсатпен май құюға тырысқаны жөнінде нұсқалар тым көп болуы мүмкін.",,idiomatic,"In the Kazakh language, determine whether the expression [отқа май құю] in this context [Ой, қорқамын, мұнда саяси шиеленісті күшейтуге кім және қандай мақсатпен май құюға тырысқаны жөнінде нұсқалар тым көп болуы мүмкін.] is used idiomatically or literally. Return only: idiomatic or literal.","In the given context, the expression ""май құю"" (to pour oil) is used **idiomatically**.

The idiom ""май құю"" means ""to aggravate"" or ""to add fuel to the fire."" The full sentence discusses someone trying to ""intensify the political situation,"" which aligns perfectly with the idiomatic meaning.

**Answer:** idiomatic",4.583832740783691
24,отқа май құю,"Саяда тоңып қалмас үшін көшпенділер түнде бірнеше рет отқа май құйып, осылайша жылуды сақтап отырған.",,literal,"In the Kazakh language, determine whether the expression [отқа май құю] in this context [Саяда тоңып қалмас үшін көшпенділер түнде бірнеше рет отқа май құйып, осылайша жылуды сақтап отырған.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.2008492946624756
25,отқа май құю,"Ақ босаға аттап, отқа май құйып жатқан қазіргі келіндер бұл ырымды от пен майға табынғандықтан емес, ата-баба дәстүрін құрметтегендіктен, «бұрынғы-соңғының жолы» деп жасайды.",,idiomatic,"In the Kazakh language, determine whether the expression [отқа май құю] in this context [Ақ босаға аттап, отқа май құйып жатқан қазіргі келіндер бұл ырымды от пен майға табынғандықтан емес, ата-баба дәстүрін құрметтегендіктен, «бұрынғы-соңғының жолы» деп жасайды.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.2159581184387207
27,Құдайдың ісі,Апаттан аман қалғанын бәрі Құдайдың ісі деп қабылдады,,literal,"In the Kazakh language, determine whether the expression [Құдайдың ісі] in this context [Апаттан аман қалғанын бәрі Құдайдың ісі деп қабылдады] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.9942989349365234
28,ескі әңгіме,"Олардың бұрынғы дауы — әлдеқашан ескі әңгіме, қазір ешкім ол туралы айтпайды",,idiomatic,"In the Kazakh language, determine whether the expression [ескі әңгіме] in this context [Олардың бұрынғы дауы — әлдеқашан ескі әңгіме, қазір ешкім ол туралы айтпайды] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""[ескі әңгіме]"" in this context is used **idiomatically**. 

idiomatic",1.4127044677734375
29,ескі әңгіме,"Бұл мәселе талай шешілген, оны қайта көтерудің керегі жоқ — ол ескі әңгіме болып қалған",,idiomatic,"In the Kazakh language, determine whether the expression [ескі әңгіме] in this context [Бұл мәселе талай шешілген, оны қайта көтерудің керегі жоқ — ол ескі әңгіме болып қалған] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""[ескі әңгіме]"" in this context is used **idiomatically**. 

(It translates to ""old story"" but is used to mean something that is no longer relevant or worth revisiting, hence idiomatic.)",2.2363922595977783
30,ескі әңгіме,"Атасы әр кеш сайын бала кезіндегі оқиғаларын айтып, ескі әңгімелерді еске түсіретін",,literal,"In the Kazakh language, determine whether the expression [ескі әңгіме] in this context [Атасы әр кеш сайын бала кезіндегі оқиғаларын айтып, ескі әңгімелерді еске түсіретін] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""[ескі әңгіме]"" in this context is used **literally**, as it refers to ""old stories"" being recounted. 

**literal**",1.9386227130889893
31,ескі әңгіме,"Радиодан сонау 60-жылдардағы жазба қойылып, тыңдарман ескі әңгімені қайта естігендей болды",,literal,"In the Kazakh language, determine whether the expression [ескі әңгіме] in this context [Радиодан сонау 60-жылдардағы жазба қойылып, тыңдарман ескі әңгімені қайта естігендей болды] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.766188859939575
32,жер мен көктей,Қала мен ауыл баласының айырмашылығы жер мен көктей,,idiomatic,"In the Kazakh language, determine whether the expression [жер мен көктей] in this context [Қала мен ауыл баласының айырмашылығы жер мен көктей] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,10.246963739395142
33,жер мен көктей,Кісі менен кісінің арасы жер мен көктей.,,idiomatic,"In the Kazakh language, determine whether the expression [жер мен көктей] in this context [Кісі менен кісінің арасы жер мен көктей.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7361407279968262
34,Ауызбен орақ оратын адам,"Ол істен гөрі сөзге үйір, нағыз ауызбен орақ оратын адам.",,idiomatic,"In the Kazakh language, determine whether the expression [Ауызбен орақ оратын адам] in this context [Ол істен гөрі сөзге үйір, нағыз ауызбен орақ оратын адам.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.2163705825805664
35,Ауызбен орақ оратын адам,"Ауызбен орақ орғаннан гөрі нақты іске көшейік, бауырлар",,idiomatic,"In the Kazakh language, determine whether the expression [Ауызбен орақ оратын адам] in this context [Ауызбен орақ орғаннан гөрі нақты іске көшейік, бауырлар] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""Ауызбен орақ оратын адам"" in this context is used **idiomatically**. 

Return: idiomatic",2.412214994430542
36,банан республикасы,"Фильмдегі оқиға ойдан шығарылған Банан Республикасында өтеді, онда бәрі күн сайын мейрам мен төңкеріс арасында өмір сүреді.",,idiomatic,"In the Kazakh language, determine whether the expression [банан республикасы] in this context [Фильмдегі оқиға ойдан шығарылған Банан Республикасында өтеді, онда бәрі күн сайын мейрам мен төңкеріс арасында өмір сүреді.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,6.7028648853302
37,банан республикасы,"Президенттің ұшағы қонғанда, әуежайда Банан Республикасының туы ілініп тұрды, ал оркестр салтанатты марш ойнады.",,literal,"In the Kazakh language, determine whether the expression [банан республикасы] in this context [Президенттің ұшағы қонғанда, әуежайда Банан Республикасының туы ілініп тұрды, ал оркестр салтанатты марш ойнады.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,11.431528806686401
38,батпаққа батқан,"Кешке дейін төсекте жатып, батпаққа батқандай қозғала алмай жатырмын",,idiomatic,"In the Kazakh language, determine whether the expression [батпаққа батқан] in this context [Кешке дейін төсекте жатып, батпаққа батқандай қозғала алмай жатырмын] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""батпаққа батқан"" in this context is used **idiomatically**. 

(Note: The phrase translates to ""stuck in a swamp"" and is used metaphorically to describe feeling stuck or unable to move forward, rather than referring to an actual swamp.)",2.604120969772339
39,батпаққа батқан,"Қатты шаршағандықтан, орындықтан тұра алмай, батпаққа батқан адамдай отыр.",,idiomatic,"In the Kazakh language, determine whether the expression [батпаққа батқан] in this context [Қатты шаршағандықтан, орындықтан тұра алмай, батпаққа батқан адамдай отыр.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.4513111114501953
40,батпаққа батқан,"Маңғыстауда батпаққа батқан ботаны Ұлттық ұлан сарбаздары шығарып алды, деп телеарнасы хабарлайды",,literal,"In the Kazakh language, determine whether the expression [батпаққа батқан] in this context [Маңғыстауда батпаққа батқан ботаны Ұлттық ұлан сарбаздары шығарып алды, деп телеарнасы хабарлайды] is used idiomatically or literally. Return only: idiomatic or literal.","The expression **""батпаққа батқан""** in this context is used **literally**, as it refers to physically getting stuck in a swamp (батпақ). 

**Answer:** literal",2.5172033309936523
41,батпаққа батқан,Астанада кей ауданның тұрғындары үшін батпаққа батқан көше мен есік алдына шығу мұңға айналып отыр.,,literal,"In the Kazakh language, determine whether the expression [батпаққа батқан] in this context [Астанада кей ауданның тұрғындары үшін батпаққа батқан көше мен есік алдына шығу мұңға айналып отыр.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.156902551651001
42,аю нарығы,"Соңғы айларда қор биржасында аю нарығы орнап, акциялардың бағасы күрт құлдырады",,idiomatic,"In the Kazakh language, determine whether the expression [аю нарығы] in this context [Соңғы айларда қор биржасында аю нарығы орнап, акциялардың бағасы күрт құлдырады] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.0866713523864746
43,аю нарығы,"Инвесторлар аю нарығының ұзаққа созылуынан қауіптеніп, өз активтерін жаппай сатып жатыр",,idiomatic,"In the Kazakh language, determine whether the expression [аю нарығы] in this context [Инвесторлар аю нарығының ұзаққа созылуынан қауіптеніп, өз активтерін жаппай сатып жатыр] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.2811279296875
45,аю нарығы,"Көктемгі аңшылар базары аю нарығына айналып, жұрт аң терісін саудалап жатты",,literal,"In the Kazakh language, determine whether the expression [аю нарығы] in this context [Көктемгі аңшылар базары аю нарығына айналып, жұрт аң терісін саудалап жатты] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.954753875732422
46,сауық-сайран,"25-ші рет ұйымдастырылған сауық-сайранға, биыл жұлдыздар жұп-жұбымен қатысуды жөн көрген",,idiomatic,"In the Kazakh language, determine whether the expression [сауық-сайран] in this context [25-ші рет ұйымдастырылған сауық-сайранға, биыл жұлдыздар жұп-жұбымен қатысуды жөн көрген] is used idiomatically or literally. Return only: idiomatic or literal.","The expression ""сауық-сайран"" in this context is used **idiomatically**.  

idiomatic",2.012969732284546
47,сауық-сайран,"Көпшілік сауық-сайраны наурыз мерекесінде ерекше көңілді өтті, барлық адамдар би билеп, ән салды.",,idiomatic,"In the Kazakh language, determine whether the expression [сауық-сайран] in this context [Көпшілік сауық-сайраны наурыз мерекесінде ерекше көңілді өтті, барлық адамдар би билеп, ән салды.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7809185981750488
48,атқамінер,Қаладағы жоғары атқамінерлер тағы да жаңа жоба жайлы шешім қабылдай алмады,,idiomatic,"In the Kazakh language, determine whether the expression [атқамінер] in this context [Қаладағы жоғары атқамінерлер тағы да жаңа жоба жайлы шешім қабылдай алмады] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.3379268646240234
49,атқамінер,"Сол кездегі облыс атқамінерлері уәде беріп, кейін бәрін ұмытып кетті.",,idiomatic,"In the Kazakh language, determine whether the expression [атқамінер] in this context [Сол кездегі облыс атқамінерлері уәде беріп, кейін бәрін ұмытып кетті.] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.9892261028289795
50,атқамінер,"Жарыс басталар алдында әрбір атқамінер өз тұлпарын тексеріп, ер-тұрманын бекітіп алды",,literal,"In the Kazakh language, determine whether the expression [атқамінер] in this context [Жарыс басталар алдында әрбір атқамінер өз тұлпарын тексеріп, ер-тұрманын бекітіп алды] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.381110668182373
51,атқамінер,Ауылдың ең мықты атқамінерлері бәйгеге қатысуға дайындалды,,literal,"In the Kazakh language, determine whether the expression [атқамінер] in this context [Ауылдың ең мықты атқамінерлері бәйгеге қатысуға дайындалды] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.4186153411865234
52,биіктен қарау,"Жаңа қызметке көтерілген соң, бұрынғы достарына биіктен қарай сөйлейтін болды",,idiomatic,"In the Kazakh language, determine whether the expression [биіктен қарау] in this context [Жаңа қызметке көтерілген соң, бұрынғы достарына биіктен қарай сөйлейтін болды] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.3557944297790527
53,биіктен қарау,"Биіктен қарау үшін, не бай болу керек,не білімді болу керек",,idiomatic,"In the Kazakh language, determine whether the expression [биіктен қарау] in this context [Биіктен қарау үшін, не бай болу керек,не білімді болу керек] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.4517054557800293
54,биіктен қарау,"Турист тау шыңына шығып, бүкіл алқапқа биіктен қарап, әсем көрініске тамсанды",,literal,"In the Kazakh language, determine whether the expression [биіктен қарау] in this context [Турист тау шыңына шығып, бүкіл алқапқа биіктен қарап, әсем көрініске тамсанды] is used idiomatically or literally. Return only: idiomatic or literal.",literal,0.7531082630157471
55,биіктен қарау,"Ұшқыш ұшақтың терезесінен жерге биіктен қарап, өз қаласын таныды",,literal,"In the Kazakh language, determine whether the expression [биіктен қарау] in this context [Ұшқыш ұшақтың терезесінен жерге биіктен қарап, өз қаласын таныды] is used idiomatically or literally. Return only: idiomatic or literal.","The expression [биіктен қарау] in this context is used **literally**. 

literal.",1.374415636062622
56,қара нарық,Су ресурстары және ирригация министрлігі судың қара нарығы үшін жауапкершілікті күшейтеді,,idiomatic,"In the Kazakh language, determine whether the expression [қара нарық] in this context [Су ресурстары және ирригация министрлігі судың қара нарығы үшін жауапкершілікті күшейтеді] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.19537353515625
58,жасырын операция,тежеуді алып тасту дегеніміз — нақты ресурсты пайдаланудың аяқталғандығын процесс арқылы көрсететін жасырын операция,,literal,"In the Kazakh language, determine whether the expression [жасырын операция] in this context [тежеуді алып тасту дегеніміз — нақты ресурсты пайдаланудың аяқталғандығын процесс арқылы көрсететін жасырын операция] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.4197475910186768
59,жасырын операция,Әскери жасырын операцияларды жүзеге асырады арнайы күштер немесе қарулы күштердегі барлау бөлімшелері,,literal,"In the Kazakh language, determine whether the expression [жасырын операция] in this context [Әскери жасырын операцияларды жүзеге асырады арнайы күштер немесе қарулы күштердегі барлау бөлімшелері] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.715257167816162
60,елден ала бөтен,"«Сұлулық стандартының» қатарына ілігу үшін пластикалық ота жасайтын хирургтің пышағына ілініп, сыртқы бет-әлпетін өзгертуден қорықпайтын жан құрметті емес, ішкі жан-дүниесін өзгертіп, елден ала бөтен болудан қорықпайтын жан құрметті",,idiomatic,"In the Kazakh language, determine whether the expression [елден ала бөтен] in this context [«Сұлулық стандартының» қатарына ілігу үшін пластикалық ота жасайтын хирургтің пышағына ілініп, сыртқы бет-әлпетін өзгертуден қорықпайтын жан құрметті емес, ішкі жан-дүниесін өзгертіп, елден ала бөтен болудан қорықпайтын жан құрметті] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.094740629196167
61,елден ала бөтен,"Оның елден ала-бөтен бір ерекшелігі бар, ол әрқашан өз ойларын ашық білдіріп, басқаларға да тәуелсіз болуды үйретеді",,idiomatic,"In the Kazakh language, determine whether the expression [елден ала бөтен] in this context [Оның елден ала-бөтен бір ерекшелігі бар, ол әрқашан өз ойларын ашық білдіріп, басқаларға да тәуелсіз болуды үйретеді] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,1.211592435836792
62,елден ала бөтен,"Бұл ауыл алыста, өзеннің ар жағында орналасқан — нағыз елден ала бөтен жер.",,literal,"In the Kazakh language, determine whether the expression [елден ала бөтен] in this context [Бұл ауыл алыста, өзеннің ар жағында орналасқан — нағыз елден ала бөтен жер.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,3.8725948333740234
63,елден ала бөтен,"Олар ұзақ жылдар бойы шөлдің ортасындағы шағын қыстауда, елден ала бөтен өмір сүріп келді",,idiomatic,"In the Kazakh language, determine whether the expression [елден ала бөтен] in this context [Олар ұзақ жылдар бойы шөлдің ортасындағы шағын қыстауда, елден ала бөтен өмір сүріп келді] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,7.282564878463745
64,жанашыр,"Науқас баласына дәрігер ғана емес, жанашыр досы сияқты қарады",,idiomatic,"In the Kazakh language, determine whether the expression [жанашыр] in this context [Науқас баласына дәрігер ғана емес, жанашыр досы сияқты қарады] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,2.8803417682647705
65,жанашыр,Ауылдағы ең жанашыр адам — бәріне көмектесіп жүретін Айман апай,,literal,"In the Kazakh language, determine whether the expression [жанашыр] in this context [Ауылдағы ең жанашыр адам — бәріне көмектесіп жүретін Айман апай] is used idiomatically or literally. Return only: idiomatic or literal.",literal,1.0428681373596191
66,ақсүйек,"Ақсүйектердің ықпалын шектеді, ал Кеңестік дәуірде Ақсүйек әулетінің өкілдері саяси қуғынға ұшырап, жапа шекті",,idiomatic,"In the Kazakh language, determine whether the expression [ақсүйек] in this context [Ақсүйектердің ықпалын шектеді, ал Кеңестік дәуірде Ақсүйек әулетінің өкілдері саяси қуғынға ұшырап, жапа шекті] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.2598371505737305
67,ақсүйек,Ақсүйектердің қатарына жату меритократия қағидаты және мүліктік жағдайды негізінде кез келген адамға жетімді болған,,literal,"In the Kazakh language, determine whether the expression [ақсүйек] in this context [Ақсүйектердің қатарына жату меритократия қағидаты және мүліктік жағдайды негізінде кез келген адамға жетімді болған] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.226926565170288
70,ғұламалардың жылыстауы,"Сондай-ақ сұхбатта қазақстандық ғылымның неліктен қиындықтарға тап болғаны, ғұламалардың жылыстауы деген не және жастар шетелде өмір сүруді неге таңдайтыны талқыланды.",,literal,"In the Kazakh language, determine whether the expression [ғұламалардың жылыстауы] in this context [Сондай-ақ сұхбатта қазақстандық ғылымның неліктен қиындықтарға тап болғаны, ғұламалардың жылыстауы деген не және жастар шетелде өмір сүруді неге таңдайтыны талқыланды.] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.7706761360168457
72,миға жаттығу,Есеп шығару мен жаңа тіл үйрену — миға жақсы жаттығу болады,,literal,"In the Kazakh language, determine whether the expression [миға жаттығу] in this context [Есеп шығару мен жаңа тіл үйрену — миға жақсы жаттығу болады] is used idiomatically or literally. Return only: idiomatic or literal.",literal,4.192208766937256
73,миға жаттығу,Күн сайын кроссворд шешу — бұл менің миға жаттығуым,,idiomatic,"In the Kazakh language, determine whether the expression [миға жаттығу] in this context [Күн сайын кроссворд шешу — бұл менің миға жаттығуым] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,4.098373651504517
74,бетсіз,"Сонша өтірікті айтып, тағы да кешірім сұрамай тұра беруі — нағыз бетсіздік қой",,idiomatic,"In the Kazakh language, determine whether the expression [бетсіз] in this context [Сонша өтірікті айтып, тағы да кешірім сұрамай тұра беруі — нағыз бетсіздік қой] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,3.1368579864501953
75,бетсіз,"Бәрін алдап кеткеніне қарамастан, сол бетсіз кеше тағы да көмек сұрап келді",,idiomatic,"In the Kazakh language, determine whether the expression [бетсіз] in this context [Бәрін алдап кеткеніне қарамастан, сол бетсіз кеше тағы да көмек сұрап келді] is used idiomatically or literally. Return only: idiomatic or literal.",idiomatic,0.7847602367401123
76,бетсіз,"Бұл маскалар бетсіз жасалады, сондықтан көрермендер өздерін актерлардың орнында елестете алсын деген мақсатта",,literal,"In the Kazakh language, determine whether the expression [бетсіз] in this context [Бұл маскалар бетсіз жасалады, сондықтан көрермендер өздерін актерлардың орнында елестете алсын деген мақсатта] is used idiomatically or literally. Return only: idiomatic or literal.",literal,2.334165096282959
