language	compound	folder	images	sentence	type pred
Igbo	imepe mmadu anya	imepe mmadu anya	['23916982432.png', '18730492705.png', '31868490484.png', '22518588216.png', '39906556596.png']	Ụmụakwụkwọ ndị ahụ kwuru na ha amaghị na imepe mmadụ anya mgbe ọ na-ehi ụra adịghị mma.	
Igbo	okwu na-ata aru na nti	okwu na-ata aru na nti	['89207274149.png', '52246587647.png', '43222948968.png', '12834987231.png', '46186537595.png']	. Mbọ a njiakpọ okwu na-agba iji kpọpụta  mkpụrụụdaasụsụ etu ha agaghị esi ta arụ na ntị na etu mkpụrụokwu ga - esi nye ezi nghọta mgbe ụda sokọrọ ọnụ ka a kpọrọ mkpọkọ.	
Igbo	okwu na-ata aru na nti	okwu na-ata aru na nti	['89207274149.png', '52246587647.png', '43222948968.png', '12834987231.png', '46186537595.png']	N’oge esemokwu siri ike n’etiti ụmụ nwoke abụọ ahụ, ka ha na-alụ ọgụ n’obi iwe, otu n’ime ha jidere nke ọzọ ma jiri ezé ya taa ntị ya, mee ka ọbara pụta nke ukwuu ma mee ka ndị gbara ha gburugburu tụọ egwu.	
Igbo	okwu na-ata aru na nti	okwu na-ata aru na nti	['89207274149.png', '52246587647.png', '43222948968.png', '12834987231.png', '46186537595.png']	"Ọ na-ata arụ na ntị iji asụsụ ọzọ akọwara nwa afọ Igbo ilu Igbo n'ihi na Igbo sị na ""onye a tụọrọ ilu kọwaara ya, mara na ego e jiri lụọ nne ya lara n'iyi""."	
Igbo	okwu na-ata aru na nti	okwu na-ata aru na nti	['89207274149.png', '52246587647.png', '43222948968.png', '12834987231.png', '46186537595.png']	Ọ tara ya arụ na ntị.	
Igbo	isi njedebe	isi njedebe	['18259455565.png', '21738465671.png', '46320786445.png', '47252929129.png', '15481754798.png']	Ka ha bịara n’isi njedebe ebe ha na-aga, Ngọzị gwara Ork. Kamta na e chekwara ego ụlọ akụ niile echekwa.	
Igbo	isi njedebe	isi njedebe	['18259455565.png', '21738465671.png', '46320786445.png', '47252929129.png', '15481754798.png']	X	
Igbo	isi njedebe	isi njedebe	['18259455565.png', '21738465671.png', '46320786445.png', '47252929129.png', '15481754798.png']	Ọ  bụrụ  na  ọ  bụghị  na  agha  Bịafra  abịala  n’isi  njedebe, Obigbo gaara eche na ndị agha Naịjirịa eburula bata n’ọgbọ.	
Igbo	akpa ego	akpa ego	['36804555163.png', '70630248698.png', '38158623147.png', '52295275555.png', '53985372097.png']	Abobi tinye ego n'akpa ego bụ na ife na-eme	
Igbo	akpa ego	akpa ego	['36804555163.png', '70630248698.png', '38158623147.png', '52295275555.png', '53985372097.png']	Nwoke ahụ bụ akpa ego, ya mere ka anyị kporiwe ndụ.	
Igbo	akpa ego	akpa ego	['36804555163.png', '70630248698.png', '38158623147.png', '52295275555.png', '53985372097.png']	Obere akpa ego nwere ike ịgbakọ ọnụ	
Igbo	akpa ego	akpa ego	['36804555163.png', '70630248698.png', '38158623147.png', '52295275555.png', '53985372097.png']	Ị sị na ị bụ akpa ego, ngwa bupụta ego kesaa onye ọ bụla.	
Igbo	ekwe ekwe	ekwe ekwe	['36903150347.png', '42997552087.png', '76259458720.png', '97605358449.png', '54401168201.png']	A na-akpọ Egondụ egedege nwaanyị nke gosiri na ọ naghị ekwe ekwe.	
Igbo	ekwe ekwe	ekwe ekwe	['36903150347.png', '42997552087.png', '76259458720.png', '97605358449.png', '54401168201.png']	X	
Igbo	ekwe ekwe	ekwe ekwe	['36903150347.png', '42997552087.png', '76259458720.png', '97605358449.png', '54401168201.png']	Ọ bụ ka aka ndị uwe ojii kpaara Odinye ka ọ matara na ekwe ekwe na-ekwe n’ute ekwere.	
Igbo	ajo nwa	ajo nwa	['92267796758.png', '81813372323.png', '80161706148.png', '41335452596.png', '49185389127.png']	Akabụọgụ bụ ajọ nwa si owere baa nne ya afọ.	
Igbo	ajo nwa	ajo nwa	['92267796758.png', '81813372323.png', '80161706148.png', '41335452596.png', '49185389127.png']	Echetala m onye ị na-ekwu maka ya, Akabụọgụ, Ajọ nwa ahụ	
Igbo	ajo nwa	ajo nwa	['92267796758.png', '81813372323.png', '80161706148.png', '41335452596.png', '49185389127.png']	X	
Igbo	obi nkume	obi nkume	['11508095539.png', '56884662521.png', '60093376844.png', '48284724730.png', '83853537073.png']	Aga m ewepụ obi nkume nke mmehie dị nʼime unu, nye unu mkpụrụobi nke anụ ahụ.	
Igbo	obi nkume	obi nkume	['11508095539.png', '56884662521.png', '60093376844.png', '48284724730.png', '83853537073.png']	Anyị na-anụ ọtụtụ ihe kwa ụbọchị banyere onye nwere obi ọla edo, obi dị ebube, ma ọ bụ nke onye nwere obi nkume ma ọ bụ onye obi  tara mmiri.	
Igbo	obi nkume	obi nkume	['11508095539.png', '56884662521.png', '60093376844.png', '48284724730.png', '83853537073.png']	X	
Igbo	onye obi oma 2	onye obi oma 2	['25830472769.png', '43862700876.png', '68371090318.png', '59428233279.png', '19214693171.png']		
Igbo	ila na nta 1	ila na nta 1	['96750926863.png', '10644901199.png', '16458405243.png', '36210492109.png', '76903304412.png']		
Igbo	obi iso rikpoo	obi iso rikpoo	['78209213952.png', '58730819286.png', '14915905898.png', '12582172455.png', '81413234150.png']	Obi na-atọ ndị ọrụ gọọmentị etiti rịkpọọ dịka onyeisiala Muhammadu Buhari nyerela iwu ka a malite ịkwụ ha ụgwọọnwa opekatampe ọhụrụ nke pụtara puku naịra iri atọ.	
Igbo	obi iso rikpoo	obi iso rikpoo	['78209213952.png', '58730819286.png', '14915905898.png', '12582172455.png', '81413234150.png']	Obi na-atọ ndị ọkwọugbọala na ndị na-azụ ahịa rịkpọọ dịka ka ha na-agba aka ahịa.	
Igbo	obi iso rikpoo	obi iso rikpoo	['78209213952.png', '58730819286.png', '14915905898.png', '12582172455.png', '81413234150.png']	X	
Igbo	ileda anya	ileda anya	['74253296778.png', '75411805372.png', '87548344896.png', '58089738768.png', '59883942302.png']	Nke  a  gosiri  oke  ileda  anya  a  na-eleda  ụmụ  nwaanyị  n’ala  Igbo  dị  ka  Achebe  siri  kwuo.	
Igbo	mmechu ihu	mmechu ihu	['77620872344.png', '83382954288.png', '74702607331.png', '82741395126.png', '72543342297.png']	Mana ka ọ dị ugbua, nwanne nne Ibrahim ya na ya bi sị na ya akwadoghị Ibrahim na ya bụ ihe ọ na-eme maka na nke ahụ bụ mmechu ihu dịịrị ezinaụlọ ya.	
Igbo	mmechu ihu	mmechu ihu	['77620872344.png', '83382954288.png', '74702607331.png', '82741395126.png', '72543342297.png']	X	
Igbo	mmechu ihu	mmechu ihu	['77620872344.png', '83382954288.png', '74702607331.png', '82741395126.png', '72543342297.png']	Ọ bụrụ na nwaanyị achọghị mmechu ihu, e nwere ọtụtụ ihe o kwesịrị ime	
Igbo	iru mgbede	iru mgbede	['64087182344.png', '43598109742.png', '91774362392.png', '63997435391.png', '78390713874.png']	Mgbe elu bụ ala ọsa, mgbe ezi dị n'ukwu ụkwa, mgbe nwoke na-achụ nwaanyị, iru mgbede bụ ihe ezinaụlọ Igbo jiri hiwe isi.	
Igbo	iru mgbede	iru mgbede	['64087182344.png', '43598109742.png', '91774362392.png', '63997435391.png', '78390713874.png']	O nwere ebe ndị na-eme ịgbanwkụ nakwa iru mgbede.	
Igbo	iru mgbede	iru mgbede	['64087182344.png', '43598109742.png', '91774362392.png', '63997435391.png', '78390713874.png']	X	
Igbo	obi mmiri	obi mmiri	['98242089830.png', '97168220817.png', '20073411870.png', '86788525471.png', '23686876492.png']	N'ihi obi ike na obi mmiri ya n'agha, Sogo enwetawo aha njirimara Tasuma (ọkụ) ma ghara ịtụ egwu onye ọ bụla, gụnyere ndị ọrụ gọọmentị.	
Igbo	obi mmiri	obi mmiri	['98242089830.png', '97168220817.png', '20073411870.png', '86788525471.png', '23686876492.png']	X	
Igbo	obi mmiri	obi mmiri	['98242089830.png', '97168220817.png', '20073411870.png', '86788525471.png', '23686876492.png']	Ọ bụghị ọrụ onye obi mmiri na-arụ	
Igbo	okuko mmiri mara	okuko mmiri mara	['44227884160.png', '68711165122.png', '17564132641.png', '17055139579.png', '62115929318.png']	Mgbe mmiri ozuzo siri ike bịara n’ehihie ahụ, otu ọkụkọ mmiri mara nọ n’akụkụ ụlọ anyị ebe ọkụ dị na-eche ka ahụ ya kọọ.	
Igbo	okuko mmiri mara	okuko mmiri mara	['44227884160.png', '68711165122.png', '17564132641.png', '17055139579.png', '62115929318.png']	Mgbe ọ gara njem rue n’obodo ndị ọcha, Chikezie dị ka ọkụkọ mmiri mara, n’ihi na ọ maghị asụsụ ha, iwu na ụdị ndụ ndị mmadụ nọ ebe ahụ na-ebi.	
Igbo	okuko mmiri mara	okuko mmiri mara	['44227884160.png', '68711165122.png', '17564132641.png', '17055139579.png', '62115929318.png']	N’ubi di ya, Adaeze hụrụ ọkụkọ mmiri mara ka o si n’okporo ụzọ banye n’ụlọ ha, ahụ ya juputara na uzuzu na mmiri, na-eme ka o maa jijiji n’ọnụ ụzọ esekwu ha.	
Igbo	okuko mmiri mara	okuko mmiri mara	['44227884160.png', '68711165122.png', '17564132641.png', '17055139579.png', '62115929318.png']	N’ụlọ nzukọ ndị ọkà mmụta sayensị ahụ, nwoke ahụ guzoro dị ka ọkụkọ mmiri mara, ebe ọ na-amaghị isiokwu a na-atụle maka na o nweghị nkwadebe zuru oke.	
Igbo	mkpuru osisi a si atala	mkpuru osisi a si atala	['73901666967.png', '43689173121.png', '13033714120.png', '99739445490.png', '82316372871.png']	Eziokwu na Ikpemkwụmọtọ abụrụla Ngweahia a na-ere penipeni; ndị okenye anyị na-atazi mkpụrụ osisi a sị ha atala, ARụ!	
Igbo	mkpuru osisi a si atala	mkpuru osisi a si atala	['73901666967.png', '43689173121.png', '13033714120.png', '99739445490.png', '82316372871.png']	N’ubi nna m, mkpụrụ osisi a sị atala dị n’isi ala anyi; nna m gbara ya ogige iji gbochie ụmụaka ịtụtụ ha na amaghị ama.	
Igbo	mkpuru osisi a si atala	mkpuru osisi a si atala	['73901666967.png', '43689173121.png', '13033714120.png', '99739445490.png', '82316372871.png']	N’ọgba ahụ, e dere akara na mgbidi sị na mkpụrụ osisi a sị atala bụ naanị maka ndị na-elekọta ubi ahụ, ka ndị ọzọ ghara imetụ ha aka.	
Igbo	mkpuru osisi a si atala	mkpuru osisi a si atala	['73901666967.png', '43689173121.png', '13033714120.png', '99739445490.png', '82316372871.png']	Tupu Iv ataa mkpụrụ osisi ahụ asị ya atala, ọ maghị ihe bụ ihe ọjọọ, ọ maghị ihe bụ asị, ọ maghịkwa na a pụrụ irafu ya ka o nupụrụ́ Nna Ya Eluigwe isi.	
Igbo	ebe a gbara oso agha	ebe a gbara oso agha	['24556567259.png', '80994995603.png', '85214749799.png', '41042939051.png', '98789637975.png']	Mgbe BBC batara n'obodo ahụ, ọ dị ka ebe a gbara ọsọ agha dịka ọgụ na-ada mere ọtụtụ ndị obodo gbaa ọsọ, ebe ndị ọrụ nchekwa juputara ebe ahụ.	
Igbo	ebe a gbara oso agha	ebe a gbara oso agha	['24556567259.png', '80994995603.png', '85214749799.png', '41042939051.png', '98789637975.png']	Nwata nwoke n'obodo Khan Yunis bụ ebe ndị gbara ọsọ agha	
Igbo	ebe a gbara oso agha	ebe a gbara oso agha	['24556567259.png', '80994995603.png', '85214749799.png', '41042939051.png', '98789637975.png']	Oge BBC Igbo gara Absuth, anyị chọpụtara na elu na ala tọgbọ chakoo ka ebe a gbara ọsọ agha.	
Igbo	ebe a gbara oso agha	ebe a gbara oso agha	['24556567259.png', '80994995603.png', '85214749799.png', '41042939051.png', '98789637975.png']	Ụlọọgwụ ahụ bụ ebe na ekwokarị ekwo dịzị ka ebe agbara ọsọ agha oge BBC gara na ya bụ ụlọọgwụ.	
Igbo	oge nwaanyi maobu oge nwoke	oge nwaanyi maobu oge nwoke	['40043366183.png', '88024876306.png', '18628318341.png', '51648380175.png', '59852128138.png']	A na-egbubu ụmụ ejima, tupu o ruo oge nwaanyị onye ocha a na-akpọ Mary Slessor kwụsịrị ya.	
Igbo	oge nwaanyi maobu oge nwoke	oge nwaanyi maobu oge nwoke	['40043366183.png', '88024876306.png', '18628318341.png', '51648380175.png', '59852128138.png']	Amaka sịrị na ọ chọghị ịlụ di ugbu a, ma nne ya na-agwa ya ka o cheta na oge nwaanyị adịghị eche.	
Igbo	oge nwaanyi maobu oge nwoke	oge nwaanyi maobu oge nwoke	['40043366183.png', '88024876306.png', '18628318341.png', '51648380175.png', '59852128138.png']	Ndị Igbo sị na oge nwaanyị na-aga aga.	
Igbo	oge nwaanyi maobu oge nwoke	oge nwaanyi maobu oge nwoke	['40043366183.png', '88024876306.png', '18628318341.png', '51648380175.png', '59852128138.png']	Ị ma na ihe a abụghịzi oge ụwa ka nọ n’isi, ya bụ na oge nwoke ga-eji ekwu okwu ekwesịghị ịkarị oge nke nwoke.	
Igbo	ogba uzo	ogba uzo	['22279371403.png', '68499726206.png', '66527551584.png', '89181183993.png', '70342040486.png']	A na-akpọ Chibuike ọgba ụzọ n’ụlọ ha, n’ihi na ọ na-arahụ ụra obere, na-ebili n’isi ụtụtụ kwa ụbọchị, na-esi nri, nakwa ahazi ụlọ ha tupu ụmụnne ya ndị ọzọ eteta.	
Igbo	ogba uzo	ogba uzo	['22279371403.png', '68499726206.png', '66527551584.png', '89181183993.png', '70342040486.png']	Chinedu bụ ọgba ụzọ n’eziokwu, n’ihi na kwa ụtụtụ tupu anyanwụ apụta, ọ na-ebili ngwa ngwa, sachaa onwe ya, kwadebe ngwa ọrụ ya, ma gawa n'ubi ka o nwee ike rụọ ọrụ ya nke ọma.	
Igbo	ogba uzo	ogba uzo	['22279371403.png', '68499726206.png', '66527551584.png', '89181183993.png', '70342040486.png']	X	
Igbo	nwaanyi di abuo	nwaanyi di abuo	['59174852045.png', '25735528811.png', '93121375511.png', '42082416885.png', '39251227820.png']	Mgbe ọ bịara n’ụlọ ọgwụ, dọkịta chọpụtara na ọ bụ nwaanyị dị abụọ, ya mere, ha nyere ya ndụmọdụ pụrụ iche.	
Igbo	nwaanyi di abuo	nwaanyi di abuo	['59174852045.png', '25735528811.png', '93121375511.png', '42082416885.png', '39251227820.png']	Nwaanyị dị abụọ anaghị arụ ọrụ dị arọ, n’ihi na ahụ ya chọrọ izu ike maka nwa ọ na-ebu.	
Igbo	nwaanyi di abuo	nwaanyi di abuo	['59174852045.png', '25735528811.png', '93121375511.png', '42082416885.png', '39251227820.png']	X	
Igbo	ihe ndaba	ihe ndaba	['97801533259.png', '95893057559.png', '11813800552.png', '63656181252.png', '68567244309.png']	N'okwu Dkt Guichet bụ na onweghi nleghara anya ọbụla, mgbaji ụkwụ nakwa oge o gburu tupu ọkpụkpụ eto esighi na nleghara anya kama na ọ bụ ihe ndaba, na ọ bụ nwada Foo mere ka ọkpụkpụ ụkwụ nri ahụ ghara itochi ọfụma site n'ụfọdụ ihe ndị ọ na-eme nakwa mgbatị ọ gbatịrị igwe ahụ karịa ogogo ha kwekọrịtara.	
Igbo	ihe ndaba	ihe ndaba	['97801533259.png', '95893057559.png', '11813800552.png', '63656181252.png', '68567244309.png']	Onoh kwuru na ọ bụ ihe ndaba mere o ji dịka gọọmentị a na-abọkwara maka ihe Emjulu mere.	
Igbo	ihe ndaba	ihe ndaba	['97801533259.png', '95893057559.png', '11813800552.png', '63656181252.png', '68567244309.png']	X	
Igbo	igba apiriko	igba apiriko	['87131305402.png', '77494446455.png', '69973830869.png', '78011374117.png', '56326368219.png']	Ekene ji ịgba apiriko mere aka ọrụ nke na akụkọ kọrọ na ọ bụ ego apiriko ka o ji rụọ ụlọ ya.	
Igbo	igba apiriko	igba apiriko	['87131305402.png', '77494446455.png', '69973830869.png', '78011374117.png', '56326368219.png']	Onye gbara gị apiriko?	
Igbo	igba apiriko	igba apiriko	['87131305402.png', '77494446455.png', '69973830869.png', '78011374117.png', '56326368219.png']	X	
Igbo	ihe mgbagwoju anya	ihe mgbagwoju anya	['29435827429.png', '80636032724.png', '50103281511.png', '32936508197.png', '63356026710.png']	Onyebuchi Igboke bụ onye na-ere ala a na-akpọ 'realtor' n'Enugwu steeti gwara BBC na ọ bụ ihe mgbagwoju anya ịnụ na o were onye si n'agbụrụ ndị ọzọ chọrọ ịzụ ala a sị na-agaghị eresi ya ala maka agbụrụ ya.	
Igbo	ihe mgbagwoju anya	ihe mgbagwoju anya	['29435827429.png', '80636032724.png', '50103281511.png', '32936508197.png', '63356026710.png']	Otu ndị Taiwan People Party kwenyere na njikọ Taiwan na Chaina ka bụ ihe mgbagwoju anya.	
Igbo	ihe mgbagwoju anya	ihe mgbagwoju anya	['29435827429.png', '80636032724.png', '50103281511.png', '32936508197.png', '63356026710.png']	X	
Igbo	ogugu isi	ogugu isi	['10216659941.png', '18925945727.png', '47974403375.png', '10406320431.png', '50550054846.png']	Anyị na-eji ọgụgụ isi eme ihe n'ọtụtụ ụzọ na ndụ anyị kwa ụbọchị, mgbe mgbe n'amaghị ama.	
Igbo	ogugu isi	ogugu isi	['10216659941.png', '18925945727.png', '47974403375.png', '10406320431.png', '50550054846.png']	Nwatakịrị nwaanyị bụ ọka ibe na klaasị ha n’ihi na ọgụgụ isi o ji aza ajụjụ pụrụ iche	
Igbo	ogugu isi	ogugu isi	['10216659941.png', '18925945727.png', '47974403375.png', '10406320431.png', '50550054846.png']	Teknụzụ ọgụgụ isi nke na-enye ọrụ ma na-arụ ọrụ gọọmentị ga-abụrịrị ndị ụlọ ọrụ jiri ya mee ihe n'ụzọ kwesịrị ekwesị.	
Igbo	ogugu isi	ogugu isi	['10216659941.png', '18925945727.png', '47974403375.png', '10406320431.png', '50550054846.png']	Zik bụ onye nwere ọgụgụ isi, onye ike dị n'uche ya jikọtara Naịjirịa na ndị isi ojii mbaụwa niile	
Igbo	aja mbele 1	aja mbele 1	['72112381725.png', '35902289496.png', '85618339638.png', '74219480684.png', '43910653510.png']		
Igbo	onye ihe na-anu oku nobi	onye ihe na-anu oku nobi	['69133874882.png', '89605427836.png', '42231620471.png', '56303545146.png', '47892703760.png']		
Igbo	oke osisi 1	oke osisi 1	['31261217578.png', '27055144771.png', '84408917813.png', '66745466844.png', '88322732723.png']		
Igbo	ikpa nkata 1	ikpa nkata 1	['93263505237.png', '89380858639.png', '77285226623.png', '10461040890.png', '75511399933.png']		
Igbo	oba mkpokoro	oba mkpokoro	['10828139437.png', '73794305975.png', '75302268959.png', '24648147336.png', '19677263166.png']	Atụmatụ ọhụrụ ha ghọrọ ọba mkpọkọrọ n’aka ndị ọrụ nke gosiri na ọ dị mkpa iwere ndị ma nke ekwe na-akụ n’ọrụ.	
Igbo	oba mkpokoro	oba mkpokoro	['10828139437.png', '73794305975.png', '75302268959.png', '24648147336.png', '19677263166.png']	O nwere otu ọba mkpọkọrọ dị n’azụ ụlọ anyị kemgbe afọ iri abụọ gara aga mana nne m ekwebeghị ka anyị tụfuo ya.	
Igbo	oba mkpokoro	oba mkpokoro	['10828139437.png', '73794305975.png', '75302268959.png', '24648147336.png', '19677263166.png']	Ị chọchara ebe ị ga-awụnye egusi ndị a ọ bụrụ n’ọba mkpọkọrọ a.	
Igbo	oba mkpokoro	oba mkpokoro	['10828139437.png', '73794305975.png', '75302268959.png', '24648147336.png', '19677263166.png']	Ọ maghị na odibo ọ gbara ga-emecha nyere ya aka n’ọdịnihu n’ihi na ọ na-echebu na ọ bụ ọba mkpọkọrọ.	
