language	nc	image	caption
Chinese	赃款	70906939265.png	The image depicts a silhouette of a person standing in a doorway, looking out into a cityscape at sunset. The person is wearing a dark jacket and pants. The door is open, and the person appears to be looking out onto a street with buildings and a warm, orange glow from the setting sun. The background is dark, emphasizing the figure and the light from the sunset. There is no visible text in the image. The style of the image is illustrative, with a focus on contrast and shadow to create a dramatic effect.
Chinese	赃款	25974200814.png	The image depicts a stylized, cartoon-like scene featuring a stack of suitcases. The suitcases are of various sizes and colors, with some appearing to be older or more worn, while others look newer. Each suitcase is adorned with different patterns and designs, including polka dots, stripes, and floral motifs.  On top of the stack, there is a camera with a large lens, and below it, a pair of sunglasses with a distinctive orange frame. The sunglasses are placed on the second-to-last suitcase, which is also the largest in the stack.  Scattered around the base of the stack are several items, including what appears to be a camera lens, a film roll, and a small, vintage-style camera. There are also some papers or documents lying on the ground, and a few small objects that could be interpreted as coins or tokens.  The background is a plain, neutral gray, which contrasts with the colorful and detailed suitcases and items. There is no visible text in the image. The overall style of the image is whimsical and playful, with a focus on the objects' textures and patterns.
Chinese	赃款	65256263363.png	The image depicts a stylized illustration of a large, orange, soap-like cube with a glossy surface. It is floating in a gray space, surrounded by numerous small, white bubbles that are scattered around it. The bubbles appear to be in various stages of formation, with some being fully formed and others still in the process of expanding. The overall style of the image is cartoonish and simplistic, with a limited color palette and a flat design aesthetic. There is no visible text in the image.
Chinese	一马当先	17958411938.png	The image depicts a stylized astronaut in a white space suit with orange and black accents. The suit is equipped with a helmet, which has a clear visor, and a backpack with various compartments and what appears to be a communication device. The astronaut is walking on a sandy surface, and there is a small, orange, spherical object attached to the backpack. The image is rendered in a digital art style with a soft, pastel color palette. There is no visible text in the image.
Chinese	一马当先	12043968900.png	The image depicts a stylized, animated character riding a white horse. The character is a man with a beard, wearing a helmet with a crest, a breastplate, and a cape. He is holding a sword in his right hand and a shield in his left. The horse is adorned with a bridle and a saddle, and there are orange banners attached to the horse's back. The background shows a blurred scene of a battle with numerous figures, suggesting a historical or fantasy setting. The overall style is reminiscent of a digital painting with a focus on realism and detail.
Chinese	一马当先	56893993199.png	The image features a cartoon-style illustration of a young boy. He has short brown hair, a cheerful expression, and is waving with his right hand. The boy is wearing an orange long-sleeved shirt, dark shorts, and black shoes. He also has a black backpack slung over his left shoulder. The background is plain white, emphasizing the subject.
Chinese	一马当先	86706855496.png	The image features a cartoon character, a young man, who is jumping in the air with a joyful expression. He is wearing a hard hat and a high-visibility vest, suggesting he might be a construction worker or involved in a similar profession. The character is holding a large cardboard box in his right hand, which appears to be in mid-air as he jumps. Below him, there are three more cardboard boxes stacked on the ground, also in mid-air as if they are being lifted by the force of his jump. The background is plain white, which contrasts with the character and the boxes, making them stand out. There are no visible texts in the image. The style of the image is illustrative and appears to be designed for a playful or humorous purpose, possibly to convey a sense of excitement or accomplishment related to work or delivery.
Chinese	一马当先	62795327751.png	The image features a stylized illustration of a man driving an orange taxi cab. The man is wearing glasses, a cap, and a vest, and he has a beard and mustache. He is waving with his right hand. The taxi has a sign on the front that reads ""TAXI"" and a checkered pattern on the side. The background is plain white.
Chinese	火上浇油	97347444013.png	The image is a digital illustration featuring two animated characters. On the left, there is a character with dark hair, wearing an orange dress, who appears to be shouting or speaking with a wide-open mouth. On the right, there is a character with dark hair and a beard, wearing a black suit with an orange tie, who is also shouting or speaking with his mouth open. Between them, there is a large, gray, cloud-like shape with orange specks, suggesting a burst of energy or sound. The background is plain and light-colored, which contrasts with the characters and the cloud-like shape. There is no visible text in the image. The style of the illustration is cartoonish and exaggerated, with a focus on expressive facial features and dynamic poses.
Chinese	火上浇油	99815969889.png	The image is a stylized illustration featuring four animated characters. On the left, there is a man with a beard and mustache, wearing a polka-dot shirt and dark pants. Next to him is a woman with a bun hairstyle, wearing a black dress and black heels. She is smiling and gesturing with her right hand. In the center, there is a large orange speech bubble with a white outline. To the right of the woman, there is a man with a beard and mustache, wearing a gray sweater and dark pants. He is standing with his arms crossed and a slight smile. Lastly, on the far right, there is a man with a beard and mustache, wearing a black shirt and brown pants. He is also smiling and has his arms crossed. The characters appear to be engaged in a friendly or casual conversation.
Chinese	火上浇油	18795659829.png	The image depicts a cartoon of a person sitting on an orange armchair with a television in front of them. The person is holding a remote control and appears to be watching the television, which displays a variety of movie posters. On the armchair, there is a small potted plant and a cup. The person is wearing orange sneakers and has curly hair. The setting suggests a cozy, indoor environment.
Chinese	火上浇油	93822989008.png	The image depicts a stylized illustration of a camping scene. In the foreground, there is a child sitting on the ground, facing away from the viewer, wearing an orange shirt and shorts. The child appears to be looking at a campfire. The campfire is in the center of the image, with flames and sparks visible, suggesting it is lit.  To the right of the child, there is a tent with a visible entrance. The tent is orange and has a simple, triangular shape. The background is dark, with a few stars visible in the sky, indicating it might be nighttime.  The surrounding area is lush with greenery, including trees and plants, which are rendered in a more detailed and realistic style compared to the rest of the image. The trees are tall and have a full canopy, while the plants are various sizes and types, adding to the natural setting.  There is no visible text in the image. The style of the image is cartoonish with a limited color palette, emphasizing the warm glow of the campfire and the cool tones of the night sky. The image is likely intended to evoke a sense of adventure and outdoor exploration.
Chinese	火上浇油	17685905232.png	The image depicts an animated scene with a character wearing an orange jumpsuit and a hard hat, standing on a platform with a hose in hand. The character is spraying a liquid that is being expelled from a large, fiery explosion. The explosion is characterized by bright orange and yellow hues, with smaller explosions and droplets of liquid flying outward. The background is a dark, solid color, which contrasts with the vibrant colors of the explosion. There is no visible text in the image. The style of the image is illustrative and cartoonish, with a focus on action and color.
Chinese	学院奖	49003627968.png	The image features a stylized illustration of a trophy. The trophy is predominantly orange with a glossy finish, and it has a handle on either side. The trophy is placed on a wooden pedestal. The background is plain and does not contain any text or additional objects. The style of the image is cartoonish and appears to be a digital illustration.
Chinese	学院奖	19482454005.png	The image features a stylized, three-dimensional rendering of a bowling pin. The pin is predominantly orange with a reflective surface, and it has a black base with a pattern of small yellow dots. The pin is placed on a wooden base with a red stripe at the bottom. The background is a checkered pattern with a grayish tone. There is no visible text in the image. The pin is the central object, and its position on the wooden base suggests it is ready for use in a bowling game.
Chinese	学院奖	26712162360.png	The image depicts an animated classroom scene. At the front of the room, a teacher stands behind a chalkboard, which has some writing on it. The teacher appears to be a woman with curly hair, wearing a yellow top. She is gesturing with her hands, suggesting she is speaking or explaining something.  The students are seated in rows of desks, facing the teacher. The students are diverse in appearance, with various hairstyles and clothing colors. Some students are looking towards the teacher, while others are looking down or to the side.  The classroom has a traditional layout with a teacher's desk at the front, and the students' desks are arranged in rows. The desks are simple, with a flat surface and a chair attached to it. The floor is a neutral color, and the walls are not detailed.  There is no visible text in the image. The style of the image is cartoonish, with a focus on simplicity and clarity. The image is likely intended to represent a typical classroom setting.
Chinese	学院奖	13212394411.png	The image features a cartoon illustration of a man standing at a podium. He has a beard and mustache, and his hair is styled in a messy, wavy manner. The man is wearing a dark suit with a tie and is gesturing with his hands. The background is plain white. There is no visible text in the image.
Chinese	学院奖	15724359858.png	The image features a stylized, three-dimensional figure resembling a person standing on a pedestal. The figure is wearing a black top hat and a large, orange, draped garment that covers the body. The pedestal is black and has a reflective surface. The figure appears to be a representation of a statue or a trophy, given the pedestal and the pose. There is no visible text in the image. The style of the image is digital art with a smooth, polished look.
Chinese	千锤百炼	40753958843.png	The image depicts a cartoon-style illustration of a wooden bridge with three large, cylindrical objects hanging from it. These objects are connected by chains and appear to be suspended in mid-air. Each cylinder has a yellow top and a black bottom, with the top of each cylinder featuring a small, black, and white detail that resembles a face or a character. The bridge is supported by two wooden posts on either side, and there are small, white, fluffy clouds at the ends of the bridge. The background is plain and does not provide any additional context. There is no visible text in the image.
Chinese	千锤百炼	68457856786.png	The image features a stylized, animated character of a muscular man with a beard. He is standing on a pedestal with his arms flexed and a broad smile. The character has a tattoo on his left arm and appears to be in a celebratory or triumphant pose. The pedestal is adorned with orange confetti, suggesting a celebratory event. The background is plain white, emphasizing the character and the pedestal. There is no visible text in the image.
Chinese	千锤百炼	67371624634.png	The image depicts a person climbing a rocky cliff face. The climber is wearing an orange backpack and a helmet, and is using a climbing harness. The cliff is rugged with patches of green vegetation. In the background, there is a river flowing through a valley with tall, rocky mountains. The sky is clear and blue. The style of the image is illustrative, with a focus on realism. There is no visible text in the image.
Chinese	千锤百炼	20864949212.png	The image depicts an animated scene of a bearded man, dressed in an orange apron and a brown hat, working at a forge. He is using a hammer to strike a glowing red anvil. The forge is constructed of stone and has a chimney with smoke emanating from it. The man is standing on a wooden platform with various tools and materials around him, including a bucket and a pile of what appears to be coal or wood. The style of the image is cartoonish with a limited color palette.
Chinese	千锤百炼	14395733356.png	The image shows a pillow with a white body and an orange border. The pillow is in a state of motion, appearing to be flipping over in the air. The shadow of the pillow is visible on the ground, indicating a light source from above. The background is plain and white, which contrasts with the pillow's colors. There is no visible text in the image.
Chinese	天灾	28486473573.png	The image depicts a stylized, cartoon-like scene. At the center is a small, quaint house with a chimney, situated on a patch of grass with a few scattered rocks. The house is surrounded by a simple wooden fence. Above the house, there is a large, fiery explosion with bright orange and yellow hues, resembling a volcanic eruption or a fiery cloud. The explosion is emitting smoke or steam, and there are smaller, white, cloud-like elements around it. The background is a plain, light gray, providing a stark contrast to the vivid colors of the explosion. There is no visible text in the image. The overall style of the image is three-dimensional with a soft, almost painterly quality to the rendering.
Chinese	天灾	13836576209.png	The image depicts a serene sky filled with fluffy, white clouds. The clouds are scattered across the sky, with some appearing larger and more prominent than others. The sky is a clear blue, providing a beautiful contrast to the white clouds. The clouds are rendered in a soft, pastel-like style, giving the image a tranquil and peaceful atmosphere. There is no visible text in the image. The clouds are the main focus of the image, and their varying sizes and positions create a sense of depth and dimension. The overall composition of the image is balanced and harmonious, with the clouds evenly distributed across the sky.
Chinese	天灾	21370946736.png	The image depicts a full moon rising over a silhouette of a tree with glowing leaves. The moon is large and bright, with a textured surface that suggests craters. The tree is positioned in the foreground, with its branches extending outward. The background is dark, emphasizing the moon and the tree. There is no visible text in the image. The style of the image is illustrative, with a focus on a serene and natural scene.
Chinese	天灾	24351206549.png	The image shows a stylized, colorful representation of a brick wall. The bricks are arranged in a vertical pattern, with varying shades of orange, brown, and gray, suggesting age and weathering. The bricks are depicted with a textured surface, giving them a three-dimensional appearance. There are no visible texts or other objects in the image. The style of the image is illustrative, with a focus on the textures and colors of the bricks.
Chinese	天灾	53328317921.png	The image depicts a stylized illustration of a small town under the threat of a large, dark tornado. The town is composed of various houses and buildings, with a mix of colors and architectural styles. The sky is overcast, and the tornado is depicted with swirling clouds and debris, suggesting a powerful and imminent storm. There is no visible text in the image. The style of the illustration is reminiscent of a comic book or graphic novel, with bold outlines and a limited color palette. The image conveys a sense of urgency and danger due to the approaching tornado.
Chinese	情感专栏作家	23295382866.png	The image depicts an animated character, a woman with curly hair, wearing glasses and a black jacket. She is seated at a desk with a piece of paper in front of her, on which she is writing with a pen. The character has a distressed expression, with tears falling from her eyes. There are three orange envelopes floating above her head, and a potted plant with green leaves is on the desk to her left. To her right, there is a coffee cup with a lid and a pen resting on it. The background is plain white.
Chinese	情感专栏作家	53846971385.png	The image depicts an animated character, a man with a beard and mustache, sitting at a desk. He is wearing a suit and tie, and appears to be in a state of distress or sadness, as indicated by his closed eyes and a tear running down his face. He is holding a piece of paper in his hands, which he seems to be reading or reviewing. On the desk, there is a glass of water and a microphone, suggesting that the man might be preparing for a broadcast or recording session. The background is a plain, dark gray, which contrasts with the character and the desk, making them stand out. There is no visible text in the image.
Chinese	情感专栏作家	90240587988.png	The image shows a stack of newspapers or magazines. The stack is composed of multiple layers, with each layer appearing to be a different publication, as indicated by the various colors and patterns on the covers. The topmost layer is orange and has a glossy finish, suggesting it might be a recent issue or a special edition. The stack is set against a plain, light background, which contrasts with the darker tones of the publications. The image is stylized with a soft, hand-drawn quality, giving it a whimsical or artistic feel. There is no visible text on the publications.
Chinese	情感专栏作家	46375643255.png	The image is a digital illustration of a male character. He has a beard and mustache, and his hair is styled in a curly afro. The character is smiling and has his arms crossed. He is wearing a short-sleeved orange shirt with a black undershirt. The background is plain white.
Chinese	情感专栏作家	74140941633.png	The image features a stylized cartoon character. The character has dark hair, a smiling face with rosy cheeks, and is wearing a brown shirt with a bright orange jacket. The character's arms are outstretched, and the background is plain white. There is no visible text in the image.
Chinese	陈年旧事	13497256708.png	The image features a stylized, futuristic vehicle with a predominantly orange and black color scheme. It has a compact, rounded body with a large, transparent windshield that covers the front. The vehicle is equipped with two prominent circular fans on either side of the front, suggesting a propulsion system. The design is sleek and modern, with a visible steering wheel and a single seat inside the cockpit. The vehicle is depicted in a three-quarter view, hovering slightly above the ground, giving the impression of levitation or flight. There is no visible text in the image.
Chinese	陈年旧事	13370135195.png	The image depicts an interior space that appears to be a museum or exhibition hall. The walls are covered with numerous framed items, including what seem to be animal heads and possibly other taxidermy or artwork. The floor is reflective, suggesting a polished surface, and there are several people present, observing the displayed items. The lighting is dim, with spotlights illuminating the exhibits, and the overall atmosphere is quiet and contemplative. There is no visible text in the image.
Chinese	陈年旧事	47910700532.png	The image shows a bottle with a vibrant orange body and a dark brown cork. The bottle appears to be made of glass and is filled with a variety of small, irregularly shaped stones or pebbles. The stones are in shades of orange, yellow, and gray, and they are not neatly arranged but rather seem to be randomly placed within the bottle. The bottle has a dark brown strap or handle attached to its neck, which is also made of leather. The background is a plain, light gray color, providing a neutral backdrop that contrasts with the bottle's bright color and the natural tones of the stones. There is no visible text in the image. The style of the image is a realistic 3D rendering with a focus on the bottle and its contents.
Chinese	陈年旧事	63917349907.png	The image depicts a book with an open cover, lying on its side with the spine facing upwards. The book is adorned with autumn leaves and appears to be covered in a spider web. The web is intricate and extends from the book, creating a sense of movement and life. Scattered around the book are additional leaves and what seem to be small, white, spherical objects that could be interpreted as bubbles or orbs. The background is a muted gray, which contrasts with the warm, earthy tones of the book and its decorations. There is no visible text in the image. The style of the image is illustrative and has a whimsical, fantasy-like quality.
Chinese	陈年旧事	44836976486.png	The image depicts a whimsical scene with a young girl sitting on an open book. The book is large and appears to be made of paper, with pages that are visible and detailed. The girl is wearing an orange dress and has blonde hair. She is holding a book in her hands and seems to be reading or looking at it.  Surrounding the girl and the book are various elements that create a magical atmosphere. There are mushrooms with orange caps, some of which are larger and closer to the girl, while others are smaller and further away. The mushrooms are of different sizes and are scattered around the scene.  The background features a dark, leafy plant with a large, green leaf that extends over the girl's head. The plant has a textured appearance, suggesting it could be a fern or a similar type of foliage.  Scattered throughout the scene are small orange flowers, adding to the color scheme and the overall fantastical feel of the image. The flowers are in various positions, some near the girl, others near the mushrooms, and some floating in the air.  The lighting in the image is soft and warm, with a focus on the girl and the immediate surroundings. The colors are vibrant, with the orange of the flowers and mushrooms contrasting against the darker tones of the plant and the girl's dress.  There is no visible text in the image. The relationships between the objects suggest a story or a moment of imagination, where the girl is immersed in a world of fantasy and adventure. The scene is carefully composed, with each element contributing to the narrative and the aesthetic appeal of the image.
Chinese	风马牛不相及	54769710607.png	The image features two stylized, cartoon-like birds with a greenish-yellow plumage. They have large, round eyes with a black pupil and a white iris, and a small orange beak. Each bird has a greenish wing with a hint of brown, and a tail with green feathers. They are perched on a thin, brown stick. The background is plain white. There is no visible text in the image.
Chinese	风马牛不相及	54966934795.png	The image features two illustrated objects: a bicycle and a rocket. The bicycle is orange with a basket on the handlebars, and it has a single visible spoke on the front wheel. The rocket is orange with a large circular window on its side and three fins at the base. The rocket also has a yellow object on its side, which appears to be a small satellite or payload. There is no visible text in the image. The bicycle and rocket are depicted in a stylized manner, with the rocket being significantly taller than the bicycle. The background is plain white, emphasizing the objects.
Chinese	风马牛不相及	68952791921.png	The image features three stylized animals: a large orange horse, a medium-sized black cow, and a small brown calf. The horse is standing with its mane flowing, and the cow and calf are standing close to it. They are all depicted with exaggerated features, such as large eyes and expressive faces. In the background, there are two wind turbines. The animals are standing on a grassy area, and the overall style of the image is cartoonish and whimsical.
Chinese	风马牛不相及	56793190111.png	The image features two stylized animals, a horse and a bull, in a dynamic pose as if they are in motion. The horse is on the left, with a vibrant orange coat, a flowing mane, and a tail. The bull is on the right, with a dark brown coat, large curved horns, and a tail with a flame-like design. Both animals appear to be in a playful or energetic state, with the horse's head tilted towards the bull and the bull's head turned away. There is no visible text in the image. The style of the image is illustrative with a limited color palette, emphasizing the contrast between the two animals.
Chinese	风马牛不相及	11167909096.png	The image features two animated characters, a cat and a dog, both with exaggerated features. The cat is on the left, with a black and orange coat, wearing a collar with a bell and a tag. It has a small orange ball in its mouth. The dog is on the right, with a white and brown coat, wearing a collar with a tag and a bone-shaped pendant. It has a small orange ball in its mouth. The dog is holding the cat's tail with its paw, and the cat is holding the dog's tail with its paw. Both characters are looking at each other with a playful expression. There is no visible text in the image.
Chinese	纸上谈兵	63480023532.png	The image depicts a cartoon-style illustration of a young boy sitting on a wooden bench. The boy is wearing a green sweater, brown pants, and brown shoes. He has a small brown bag on his lap. Behind the bench, there is a large orange bus with a black roof and windows. The bus is parked on the side of a road with a curb and a potted plant with yellow flowers next to the bench. The background is a plain, light gray color. There is no visible text in the image.
